"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Borrelia bavariensis",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,"motility",NA,NA,"spirilla",NA,"mesophilic"
"Bradyrhizobium sp. ORS 285",NA,NA,"plants, host, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,NA
"Halomonas titanicae",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Arthrobacter phenanthrenivorans","aesculin, glucose","glucosidase, galactosidase","freeliving",NA,NA,"tetrads","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Desulfatibacillum aliphaticivorans",NA,NA,"sediment, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,"bacilli",NA,NA
"Microcystis aeruginosa",NA,NA,"host, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals","nitrogenfixation",NA,NA,NA,NA,"coccus",NA,"mesophilic"
"Mycobacterium africanum",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"mammalsman, respiratory, pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Sphingomonas melonis",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Parabacteroides goldsteinii",NA,NA,"hostassociated, digestivesystem, host, fecal, hostassociated, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Tersicoccus phoenicis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haloterrigena salina",NA,"catalase, oxidase","freeliving, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,"halophilic",NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Streptomyces avermitilis","mannitol, arabinose, inositol",NA,"soil, soil, freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Candidatus Arthromitus sp. SFB-rat-Yit","arbutin",NA,"hostassociated, digestivesystem, host, fecal, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Bifidobacterium thermophilum","glucose",NA,"hostassociated, largeintestine, digestivesystem, host, fecal, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Slackia sp. CM382",NA,NA,"hostassociated, digestivesystem, host",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Actinopolyspora mortivallis",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Pyrobaculum neutrophilum",NA,NA,"environmental, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hyperthermophilic, thermophilic"
"Bartonella sp. DB5-6","glycine, leucine",NA,"blood, host, hostassociated, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Amycolatopsis mediterranei","arabinose",NA,"freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Pseudomonas plecoglossicida","glutamate, ketoglutaric acid, alanine, propionate, aspartate, mucic acid","lipase  c14",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Megasphaera sp. UPII 135-E",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Megasphaera sp. UPII 199-6",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Mesonia mobilis",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Synechocystis sp. PCC 6714",NA,NA,"freeliving",NA,NA,NA,"photoautotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Synechocystis sp. PCC 6803",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Methanolobus vulcani",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acinetobacter sp. NIPH 542","glutamate, adipate, aspartate, ethanol, histidine, arginine","catalase",NA,NA,NA,"singles","heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Trichormus azollae",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Acinetobacter sp. CIP 64.2","glutamate, ethanol","esterase lipase  c8, catalase","hostassociated",NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Anabaena cylindrica",NA,NA,"freeliving",NA,NA,"filaments",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Halanaerobium hydrogeniformans","dextrin",NA,"freeliving",NA,NA,"singles",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Acinetobacter sp. NIPH 1859","glutamate, ethanol","catalase","hostassociated",NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Anoxybacillus flavithermus","dextrin, ketoglutaric acid, glucose","esterase lipase  c8","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli","sporulation","thermophilic"
"Nodularia spumigena",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Acinetobacter sp. NIPH 298","glutamate, ethanol","alkaline phosphatase, catalase",NA,NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Carnobacterium sp. WN1359",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acinetobacter sp. NIPH 2171","benzoate, ethanol",NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thermosediminibacter oceani",NA,NA,"freeliving, single",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Anabaena variabilis",NA,"alkaline phosphatase","freeliving",NA,NA,"filaments",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"filamentous",NA,"mesophilic"
"Geobacillus thermodenitrificans","ketoglutaric acid, glucose, d glucopyranoside",NA,"freeliving",NA,NA,NA,"chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli","sporulation","thermophilic"
"Ruminococcus lactaris",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Geobacillus thermoleovorans","mannitol, ketoglutaric acid, glucose",NA,"environmental, freeliving",NA,NA,NA,"chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli","sporulation","thermophilic"
"Candidatus Atelocyanobacterium thalassa",NA,NA,"freeliving, single",NA,NA,NA,"photosynthetic",NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Kyrpidia tusciae",NA,NA,"freeliving, single",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bacilli","sporulation","thermophilic"
"Enterococcus avium","arabitol, sorbose, tagatose","esterase  c4","hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Nostoc commune",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Anabaena sp. 90",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Bacteriovorax sp. Seq25_V",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmonostoc muscorum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacillus infantis",NA,NA,NA,NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporulation",NA
"Halovivax asiaticus",NA,"oxidase","freeliving, single",NA,NA,NA,NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acetobacterium woodii",NA,NA,"freeliving",NA,NA,"singles",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Acinetobacter sp. ANC 3789","ethanol",NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Clostridium magnum",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporulation",NA
"Acinetobacter sp. NIPH 758","glutamate, ethanol","catalase","hostassociated",NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thermoplasma volcanium",NA,NA,"environmental, freeliving, single","acidophile",NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"thermophilic"
"Acinetobacter sp. NIPH 809","glutamate, ethanol","alkaline phosphatase, catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pseudomonas fuscovaginae","ketoglutaric acid, alanine",NA,NA,NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Leptolyngbya sp. PCC 7376",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Cupriavidus sp. BIS7","glutamate, ketoglutaric acid, alanine, mucic acid",NA,NA,NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Sphaerochaeta globosa",NA,NA,"lotic, sediment, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Lactobacillus johnsonii","arbutin, fructose, lactose, dextrin, gentiobiose, salicin, amygdalin, glucose, mannose","glucosidase, galactosidase","hostassociated, host, fecal, vagina, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Stackebrandtia nassauensis",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Sphaerochaeta pleomorpha",NA,"alkaline phosphatase","lotic, sediment, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Leuconostoc citreum","fructose, acetylglucosamine, dextrin",NA,"foodproduction, host",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Thermofilum sp. 1910b",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Bradyrhizobiaceae bacterium SG-6C","d xylopyranoside","alkaline phosphatase","hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli",NA,"mesophilic"
"Leuconostoc pseudomesenteroides",NA,NA,"foodproduction, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,NA
"Methanocaldococcus sp. FS406-22",NA,NA,"aquatic, hydrothermalvents, marine, marine, freeliving, single",NA,NA,NA,NA,"flagellarpresence","negative",NA,"halophilic",NA,"methanogen",NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Acinetobacter sp. NIPH 3623","glutamate, ethanol","esterase lipase  c8, catalase","hostassociated",NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Melissococcus plutonius","dextrin, glucose","esterase lipase  c8","hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Scytonema crispum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microbacterium luticocti",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acinetobacter sp. NIPH 2036","ethanol","catalase",NA,NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. NIPH 1847","glutamate, ethanol","catalase","hostassociated",NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. NIPH 1867","glutamate, ethanol","catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. ANC 4105","glutamate, ethanol","catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Trichodesmium erythraeum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Acinetobacter sp. CIP 70.18","glutamate, ethanol","catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. ANC 3880","glutamate, ethanol","catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Bacillus infernus","ketoglutaric acid",NA,"freeliving",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporulation",NA
"Acinetobacter sp. NIPH 2168","glutamate, ethanol","esterase lipase  c8, catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. ANC 3929","glutamate, ethanol","catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thermococcus sp. AM4",NA,NA,"hydrothermalvents, hydrothermalvent, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Acinetobacter sp. NIPH 284","ethanol","alkaline phosphatase, catalase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Prevotella amnii",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. ANC 3862","glutamate, ethanol","alkaline phosphatase, catalase",NA,NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Opitutus terrae",NA,NA,"environmental, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Acinetobacter sp. NIPH 899","ethanol","catalase","hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. NIPH 236","glutamate, ethanol","catalase",NA,NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Acinetobacter sp. NIPH 2100","glutamate, ethanol","alkaline phosphatase, catalase",NA,NA,NA,NA,"heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. NIPH 713","ethanol","catalase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Prochloron didemni",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frankia sp. Iso899",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alloscardovia omnicolens",NA,"galactosidase","hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pseudovibrio sp. JE062",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Prochlorococcus marinus",NA,NA,"freeliving, single",NA,NA,"singles","photosynthetic",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Glaciecola nitratireducens",NA,"alkaline phosphatase, esterase lipase  c8, catalase","marine, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Candidatus Pelagibacter sp. HTCC7211","arbutin",NA,NA,NA,NA,"singles","oligotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Candidatus Rickettsia amblyommii",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rickettsia bellii",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rickettsia montanensis",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Chlorobium chlorochromatii",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Rickettsia rhipicephali",NA,NA,"hostassociated, blood, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Bradyrhizobium sp. Cp5.3","arabinose, xylose, d xylopyranoside",NA,"hostassociated, rhizoplane, host, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,"plantslegumes","nitrogenfixation","mobility",NA,"strictaero",NA,"bacilli",NA,NA
"Marinimicrobium sp. LS-A18",NA,"esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"gamma proteobacterium NOR5-3",NA,"esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Gluconacetobacter diazotrophicus",NA,"alkaline phosphatase","hostassociated",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. ALRh",NA,"esterase lipase  c8","sediment, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Nitrosococcus oceani",NA,"alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrifying, ammoniaoxidizer",NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Shewanella oneidensis","gelatin hydrolysis, hydrogen sulfide, acetylglucosamine","alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase, arginine dihydrolase, oxidase","environmental, sediment, freeliving",NA,NA,"pairs, singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility","motility","facultative",NA,"bacilli",NA,"mesophilic"
"Rhodobacterales bacterium Y4I","malate, acetate, glucose, leucine","alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase, oxidase","marine, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Enterobacteriaceae bacterium strain FGI 57","glutamate, glycerol, mannitol, sorbitol, trehalose, gluconate, acetate, aspartate, glucose","alkaline phosphatase, esterase lipase  c8, galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Thioalkalivibrio sp. ALE19",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nitrosospira multiformis",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrifying",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Ruegeria sp. R11",NA,"alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase","freeliving",NA,NA,NA,"phototroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Shewanella pealeana","hydrogen sulfide","alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase, arginine dihydrolase, oxidase","marine, sediment, freeliving",NA,NA,"pairs, singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,NA,"motility","facultative",NA,"bacilli",NA,NA
"Paracoccus aminophilus",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Salipiger mucosus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Ferroplasma acidiphilum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Corynebacterium efficiens","dextrin",NA,"host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Novosphingobium tardaugens",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Leuconostoc gelidum",NA,NA,"foodproduction, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Leuconostoc mesenteroides","fructose, dextrin",NA,"foodproduction, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Leuconostoc lactis",NA,NA,"foodproduction, host",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,NA
"Oenococcus oeni","fructose",NA,"host, fecal",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Weissella paramesenteroides",NA,NA,"host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Rhodospirillum centenum","galacturonate",NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Methanocaldococcus fervens",NA,NA,"aquatic, hydrothermalvents, marine, marine, freeliving, single",NA,NA,NA,NA,NA,"negative",NA,"halophilic",NA,"methanogen",NA,"motility","strictanaero",NA,"coccus",NA,"hyperthermophilic, thermophilic"
"Leuconostoc fallax",NA,NA,"foodproduction, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,NA
"Leuconostoc carnosum","fructose, acetylglucosamine, glucose",NA,"foodproduction, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"coccus",NA,NA
"Candidatus Liberibacter asiaticus",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"insectsgeneral, pathogenic in plants",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thermoanaerobacter pseudethanolicus","starch",NA,"environmental, lentic, freshwater, sediment, freeliving, single",NA,NA,"pairs, singles","chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Pediococcus acidilactici","dextrin",NA,"host",NA,NA,"chains, tetrads","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Pediococcus pentosaceus","arbutin, fructose, dextrin",NA,"host, fecal",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Weissella koreensis",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
